Epoch, Step, Loss, Lr, Time
13, 2201, 3.1737, 0.000996, 1103.35
13, 2301, 3.2043, 0.000996, 1151.18
13, 2401, 3.1674, 0.000996, 1203.43
13, 2501, 3.2294, 0.000996, 1250.76
14, 1, 3.0807, 0.000996, 5.40
14, 101, 3.0552, 0.000996, 54.45
14, 201, 2.9998, 0.000996, 103.63
14, 301, 3.1479, 0.000996, 154.40
14, 401, 3.1459, 0.000996, 202.94
14, 501, 3.0630, 0.000996, 253.52
14, 601, 3.1749, 0.000996, 303.00
14, 701, 3.1269, 0.000996, 350.84
14, 801, 2.8494, 0.000996, 400.52
14, 901, 3.1726, 0.000995, 452.42
14, 1001, 3.0159, 0.000995, 501.04
14, 1101, 3.1196, 0.000995, 550.83
14, 1201, 3.1984, 0.000995, 597.73
14, 1301, 3.1659, 0.000995, 648.39
14, 1401, 3.1879, 0.000995, 698.23
14, 1501, 3.2549, 0.000995, 748.36
14, 1601, 3.0362, 0.000995, 799.27
14, 1701, 3.0316, 0.000995, 847.02
14, 1801, 3.3215, 0.000995, 897.27
14, 1901, 3.0080, 0.000995, 947.84
14, 2001, 3.0699, 0.000995, 997.33
14, 2101, 3.0260, 0.000995, 1045.05
14, 2201, 2.9851, 0.000995, 1095.20
14, 2301, 3.1633, 0.000995, 1142.95
14, 2401, 3.0268, 0.000995, 1192.64
14, 2501, 3.1737, 0.000995, 1242.16
15, 1, 3.0368, 0.000995, 5.67
15, 101, 2.8960, 0.000995, 56.65
15, 201, 3.0774, 0.000995, 108.08
15, 301, 3.0472, 0.000995, 158.65
15, 401, 2.9559, 0.000995, 207.77
15, 501, 3.1883, 0.000995, 256.90
15, 601, 3.1011, 0.000994, 306.89
15, 701, 2.9446, 0.000994, 355.79
15, 801, 3.1004, 0.000994, 405.68
15, 901, 3.1182, 0.000994, 453.64
15, 1001, 3.1118, 0.000994, 502.63
15, 1101, 3.0280, 0.000994, 551.75
15, 1201, 3.0371, 0.000994, 601.58
15, 1301, 2.9798, 0.000994, 650.48
15, 1401, 3.0060, 0.000994, 702.72
15, 1501, 3.2050, 0.000994, 749.99
15, 1601, 3.1028, 0.000994, 802.85
15, 1701, 2.8980, 0.000994, 849.92
15, 1801, 3.0221, 0.000994, 901.76
15, 1901, 3.1443, 0.000994, 948.66
15, 2001, 2.9533, 0.000994, 999.89
15, 2101, 3.2290, 0.000994, 1046.95
15, 2201, 2.9471, 0.000994, 1097.43
15, 2301, 2.9151, 0.000994, 1147.28
15, 2401, 2.9879, 0.000994, 1196.29
15, 2501, 2.8869, 0.000994, 1243.83
16, 1, 3.0193, 0.000994, 4.41
16, 101, 2.9441, 0.000993, 52.87
16, 201, 3.0835, 0.000993, 101.59
16, 301, 3.1455, 0.000993, 150.51
16, 401, 2.9200, 0.000993, 198.87
16, 501, 3.0141, 0.000993, 247.08
16, 601, 2.9799, 0.000993, 295.57
16, 701, 3.0640, 0.000993, 344.35
16, 801, 2.9436, 0.000993, 393.36
16, 901, 3.0725, 0.000993, 441.46
16, 1001, 2.9784, 0.000993, 490.07
16, 1101, 3.1583, 0.000993, 538.51
16, 1201, 3.0567, 0.000993, 587.55
16, 1301, 3.0816, 0.000993, 636.64
16, 1401, 2.9549, 0.000993, 684.18
16, 1501, 3.1976, 0.000993, 733.44
16, 1601, 3.0739, 0.000993, 781.09
16, 1701, 2.9634, 0.000993, 831.50
16, 1801, 3.1608, 0.000993, 879.61
16, 1901, 3.0108, 0.000993, 928.57
16, 2001, 3.0346, 0.000992, 976.52
16, 2101, 3.0475, 0.000992, 1025.92
16, 2201, 3.1681, 0.000992, 1073.33
16, 2301, 3.0653, 0.000992, 1121.95
16, 2401, 3.0684, 0.000992, 1171.03
16, 2501, 2.8800, 0.000992, 1219.47
17, 1, 3.0277, 0.000992, 5.89
17, 101, 3.0232, 0.000992, 54.03
17, 201, 2.9165, 0.000992, 104.10
17, 301, 3.0799, 0.000992, 150.97
17, 401, 2.8696, 0.000992, 201.09
17, 501, 2.9287, 0.000992, 248.96
17, 601, 2.9326, 0.000992, 298.12
17, 701, 2.9298, 0.000992, 345.92
17, 801, 2.9180, 0.000992, 395.18
17, 901, 3.0694, 0.000992, 443.57
17, 1001, 2.9679, 0.000992, 492.29
17, 1101, 2.9969, 0.000992, 541.01
17, 1201, 2.9172, 0.000991, 589.09
17, 1301, 2.9717, 0.000991, 639.03
17, 1401, 3.0631, 0.000991, 686.43
17, 1501, 2.8895, 0.000991, 735.93
17, 1601, 2.8396, 0.000991, 783.38
17, 1701, 2.8924, 0.000991, 833.22
17, 1801, 3.0377, 0.000991, 880.84
17, 1901, 3.0178, 0.000991, 929.56
17, 2001, 3.0792, 0.000991, 977.58
17, 2101, 3.0455, 0.000991, 1027.44
17, 2201, 3.0058, 0.000991, 1075.57
17, 2301, 2.8336, 0.000991, 1125.73
17, 2401, 3.0714, 0.000991, 1173.55
17, 2501, 2.9646, 0.000991, 1223.65
18, 1, 2.9371, 0.000991, 4.35
18, 101, 2.8335, 0.000991, 52.65
18, 201, 2.8627, 0.000991, 101.64
18, 301, 2.9251, 0.000990, 150.24
18, 401, 2.7903, 0.000990, 198.47
18, 501, 2.9704, 0.000990, 247.50
18, 601, 3.1421, 0.000990, 296.06
18, 701, 2.9717, 0.000990, 345.93
18, 801, 2.7517, 0.000990, 393.78
18, 901, 3.0898, 0.000990, 443.08
18, 1001, 3.0164, 0.000990, 490.73
18, 1101, 2.9509, 0.000990, 540.81
18, 1201, 3.0344, 0.000990, 588.16
18, 1301, 2.9595, 0.000990, 638.49
18, 1401, 2.9911, 0.000990, 687.07
18, 1501, 2.8988, 0.000990, 737.07
18, 1601, 3.1881, 0.000990, 784.67
18, 1701, 2.7132, 0.000990, 834.51
18, 1801, 2.9390, 0.000990, 881.84
18, 1901, 2.9773, 0.000989, 931.78
18, 2001, 2.7063, 0.000989, 979.28
18, 2101, 2.9888, 0.000989, 1028.54
18, 2201, 2.9439, 0.000989, 1076.52
18, 2301, 2.9690, 0.000989, 1126.37
18, 2401, 3.0036, 0.000989, 1172.98
18, 2501, 2.7917, 0.000989, 1223.11
19, 1, 2.7744, 0.000989, 4.27
19, 101, 2.9402, 0.000989, 52.30
19, 201, 2.8053, 0.000989, 101.63
19, 301, 2.9053, 0.000989, 149.31
19, 401, 2.7221, 0.000989, 198.96
19, 501, 2.8525, 0.000989, 246.41
19, 601, 2.7914, 0.000989, 296.15
19, 701, 2.9251, 0.000989, 344.44
19, 801, 2.9523, 0.000989, 393.81
19, 901, 2.7128, 0.000988, 442.20
19, 1001, 2.9060, 0.000988, 491.54
19, 1101, 2.8429, 0.000988, 538.71
19, 1201, 2.8097, 0.000988, 588.27
19, 1301, 2.6961, 0.000988, 636.97
19, 1401, 2.8154, 0.000988, 685.72
19, 1501, 2.8811, 0.000988, 734.24
19, 1601, 2.8577, 0.000988, 782.54
19, 1701, 3.0059, 0.000988, 831.69
19, 1801, 2.9900, 0.000988, 880.02
19, 1901, 2.6835, 0.000988, 928.76
19, 2001, 2.8958, 0.000988, 977.19
19, 2101, 2.8940, 0.000988, 1025.33
19, 2201, 3.0903, 0.000988, 1073.97
19, 2301, 2.9761, 0.000987, 1121.99
19, 2401, 2.8917, 0.000987, 1171.12
19, 2501, 2.7439, 0.000987, 1219.45
20, 1, 2.8832, 0.000987, 4.63
20, 101, 2.9518, 0.000987, 53.21
20, 201, 2.8882, 0.000987, 102.22
20, 301, 2.9567, 0.000987, 150.81
20, 401, 2.8397, 0.000987, 199.06
20, 501, 2.7400, 0.000987, 247.72
20, 601, 2.9144, 0.000987, 295.60
20, 701, 2.8087, 0.000987, 343.57
20, 801, 2.9367, 0.000987, 393.39
20, 901, 2.9274, 0.000987, 441.32
20, 1001, 2.8083, 0.000987, 490.49
20, 1101, 2.8888, 0.000987, 538.47
20, 1201, 2.7945, 0.000986, 587.72
20, 1301, 2.8694, 0.000986, 635.64
20, 1401, 2.8700, 0.000986, 684.67
20, 1501, 2.8147, 0.000986, 733.15
20, 1601, 2.6578, 0.000986, 783.11
20, 1701, 2.9773, 0.000986, 830.67
20, 1801, 2.8057, 0.000986, 880.41
20, 1901, 2.6342, 0.000986, 929.01
20, 2001, 2.8920, 0.000986, 977.94
20, 2101, 2.9057, 0.000986, 1025.60
20, 2201, 2.7955, 0.000986, 1074.73
20, 2301, 3.1032, 0.000986, 1122.75
20, 2401, 3.0752, 0.000986, 1171.60
20, 2501, 2.9528, 0.000985, 1220.15
21, 1, 2.7476, 0.000985, 5.49
21, 101, 2.6959, 0.000985, 53.29
21, 201, 2.7906, 0.000985, 102.76
21, 301, 2.8148, 0.000985, 150.05
21, 401, 2.9512, 0.000985, 199.66
21, 501, 2.8812, 0.000985, 247.80
21, 601, 2.6925, 0.000985, 296.62
21, 701, 2.7902, 0.000985, 345.09
21, 801, 2.8980, 0.000985, 393.00
21, 901, 3.0086, 0.000985, 442.27
21, 1001, 2.8134, 0.000985, 489.98
21, 1101, 2.6405, 0.000985, 539.78
21, 1201, 2.7541, 0.000985, 586.48
21, 1301, 2.9119, 0.000984, 635.79
21, 1401, 2.9147, 0.000984, 683.18
21, 1501, 3.1113, 0.000984, 732.28
21, 1601, 2.7037, 0.000984, 780.28
21, 1701, 2.8005, 0.000984, 828.65
21, 1801, 2.6934, 0.000984, 876.49
21, 1901, 3.0458, 0.000984, 925.39
21, 2001, 2.6335, 0.000984, 973.33
